26051,1,0,1550600089
26051,1,-1,1550600093
26197,2,0,1550600093
26197,2,-1,1550600095
26221,3,0,1550600095
26221,3,-1,1550600097
26242,4,0,1550600097
26242,4,-1,1550600099
26263,5,0,1550600099
26263,5,-1,1550600107
26474,6,0,1550600107
26474,6,-1,1550600109
26497,7,0,1550600109
26497,7,-1,1550600112
26529,8,0,1550600112
26529,8,-1,1550600119
26729,9,0,1550600119
26729,9,-1,1550600136
27234,10,0,1550600136
27234,10,-1,1550600153
27740,11,0,1550600153
27740,11,-1,1550600170
28245,12,0,1550600170
28245,12,-1,1550600187
28750,13,0,1550600187
28750,13,-1,1550600195
