2019.02.19-13:14:51 1-59-1.dcm to 1-59-1.dcm.gz 
2019.02.19-13:14:51 1-60-1.dcm to 1-60-1.dcm.gz 
2019.02.19-13:14:51 1-61-1.dcm to 1-61-1.dcm.gz 
2019.02.19-13:14:51 1-6-1.dcm to 1-6-1.dcm.gz 
2019.02.19-13:14:51 1-62-1.dcm to 1-62-1.dcm.gz 
2019.02.19-13:14:51 1-63-1.dcm to 1-63-1.dcm.gz 
2019.02.19-13:14:51 1-64-1.dcm to 1-64-1.dcm.gz 
2019.02.19-13:14:51 1-65-1.dcm to 1-65-1.dcm.gz 
2019.02.19-13:14:51 1-66-1.dcm to 1-66-1.dcm.gz 
2019.02.19-13:14:51 1-67-1.dcm to 1-67-1.dcm.gz 
2019.02.19-13:14:51 1-68-1.dcm to 1-68-1.dcm.gz 
2019.02.19-13:14:51 1-69-1.dcm to 1-69-1.dcm.gz 
2019.02.19-13:14:51 1-70-1.dcm to 1-70-1.dcm.gz 
2019.02.19-13:14:51 1-71-1.dcm to 1-71-1.dcm.gz 
2019.02.19-13:14:51 1-7-1.dcm to 1-7-1.dcm.gz 
2019.02.19-13:14:51 1-72-1.dcm to 1-72-1.dcm.gz 
2019.02.19-13:14:51 1-73-1.dcm to 1-73-1.dcm.gz 
2019.02.19-13:14:51 1-74-1.dcm to 1-74-1.dcm.gz 
2019.02.19-13:14:51 1-75-1.dcm to 1-75-1.dcm.gz 
2019.02.19-13:14:51 1-76-1.dcm to 1-76-1.dcm.gz 
2019.02.19-13:14:51 1-77-1.dcm to 1-77-1.dcm.gz 
2019.02.19-13:14:51 1-78-1.dcm to 1-78-1.dcm.gz 
2019.02.19-13:14:51 1-79-1.dcm to 1-79-1.dcm.gz 
2019.02.19-13:14:51 1-80-1.dcm to 1-80-1.dcm.gz 
2019.02.19-13:14:51 1-81-1.dcm to 1-81-1.dcm.gz 
2019.02.19-13:14:51 1-8-1.dcm to 1-8-1.dcm.gz 
2019.02.19-13:14:51 1-82-1.dcm to 1-82-1.dcm.gz 
2019.02.19-13:14:51 1-83-1.dcm to 1-83-1.dcm.gz 
2019.02.19-13:14:51 1-84-1.dcm to 1-84-1.dcm.gz 
2019.02.19-13:14:51 1-85-1.dcm to 1-85-1.dcm.gz 
2019.02.19-13:14:51 1-86-1.dcm to 1-86-1.dcm.gz 
2019.02.19-13:14:51 1-87-1.dcm to 1-87-1.dcm.gz 
2019.02.19-13:14:51 1-88-1.dcm to 1-88-1.dcm.gz 
2019.02.19-13:14:51 1-89-1.dcm to 1-89-1.dcm.gz 
2019.02.19-13:14:51 1-90-1.dcm to 1-90-1.dcm.gz 
2019.02.19-13:14:51 1-91-1.dcm to 1-91-1.dcm.gz 
2019.02.19-13:14:51 1-9-1.dcm to 1-9-1.dcm.gz 
2019.02.19-13:14:51 1-92-1.dcm to 1-92-1.dcm.gz 
2019.02.19-13:14:51 1-93-1.dcm to 1-93-1.dcm.gz 
2019.02.19-13:14:51 1-94-1.dcm to 1-94-1.dcm.gz 
2019.02.19-13:14:51 1-95-1.dcm to 1-95-1.dcm.gz 
2019.02.19-13:14:51 1-96-1.dcm to 1-96-1.dcm.gz 
2019.02.19-13:14:51 1-97-1.dcm to 1-97-1.dcm.gz 
2019.02.19-13:14:51 1-98-1.dcm to 1-98-1.dcm.gz 
2019.02.19-13:14:51 1-99-1.dcm to 1-99-1.dcm.gz 
2019.02.19-13:14:55 SERIES 2
2019.02.19-13:14:55 2-1-1.dcm to 2-1-1.dcm.gz 
2019.02.19-13:14:55 2-2-1.dcm to 2-2-1.dcm.gz 
2019.02.19-13:14:55 2-3-1.dcm to 2-3-1.dcm.gz 
2019.02.19-13:14:55 2-4-1.dcm to 2-4-1.dcm.gz 
2019.02.19-13:14:55 2-5-1.dcm to 2-5-1.dcm.gz 
2019.02.19-13:14:57 SERIES 3
2019.02.19-13:14:57 3-1-1.dcm to 3-1-1.dcm.gz 
2019.02.19-13:14:57 3-2-1.dcm to 3-2-1.dcm.gz 
2019.02.19-13:14:57 3-3-1.dcm to 3-3-1.dcm.gz 
2019.02.19-13:14:59 SERIES 4
2019.02.19-13:14:59 4-1-1.dcm to 4-1-1.dcm.gz 
2019.02.19-13:14:59 4-2-1.dcm to 4-2-1.dcm.gz 
2019.02.19-13:14:59 4-3-1.dcm to 4-3-1.dcm.gz 
